type,date,close
podcast,2022-11-22T00:29:00Z,13
podcast,2022-11-22T00:30:00Z,17
podcast,2022-11-22T00:31:00Z,13
podcast,2022-11-22T00:32:00Z,27
podcast,2022-11-22T00:33:00Z,24
podcast,2022-11-22T00:34:00Z,20
podcast,2022-11-22T00:35:00Z,20
podcast,2022-11-22T00:36:00Z,20
podcast,2022-11-22T00:37:00Z,21
podcast,2022-11-22T00:38:00Z,22
podcast,2022-11-22T00:39:00Z,23
podcast,2022-11-22T00:40:00Z,25
podcast,2022-11-22T00:41:00Z,22
podcast,2022-11-22T00:42:00Z,22
podcast,2022-11-22T00:43:00Z,24
podcast,2022-11-22T00:44:00Z,22
podcast,2022-11-22T00:45:00Z,21
podcast,2022-11-22T00:46:00Z,23
podcast,2022-11-22T00:47:00Z,17
podcast,2022-11-22T00:48:00Z,22
podcast,2022-11-22T00:49:00Z,21
podcast,2022-11-22T00:50:00Z,23
podcast,2022-11-22T00:51:00Z,21
podcast,2022-11-22T00:52:00Z,21
podcast,2022-11-22T00:53:00Z,22
podcast,2022-11-22T00:54:00Z,22
podcast,2022-11-22T00:55:00Z,22
podcast,2022-11-22T00:56:00Z,19
podcast,2022-11-22T00:57:00Z,22
podcast,2022-11-22T00:58:00Z,24
podcast,2022-11-22T00:59:00Z,24
podcast,2022-11-22T01:00:00Z,23
podcast,2022-11-22T01:01:00Z,24
podcast,2022-11-22T01:02:00Z,18
podcast,2022-11-22T01:03:00Z,22
podcast,2022-11-22T01:04:00Z,25
podcast,2022-11-22T01:05:00Z,24
podcast,2022-11-22T01:06:00Z,22
podcast,2022-11-22T01:07:00Z,23
podcast,2022-11-22T01:08:00Z,22
podcast,2022-11-22T01:09:00Z,21
podcast,2022-11-22T01:10:00Z,18
podcast,2022-11-22T01:11:00Z,23
podcast,2022-11-22T01:12:00Z,15
podcast,2022-11-22T01:13:00Z,17
podcast,2022-11-22T01:14:00Z,23
podcast,2022-11-22T01:15:00Z,24
podcast,2022-11-22T01:16:00Z,18
podcast,2022-11-22T01:17:00Z,21
podcast,2022-11-22T01:18:00Z,18
podcast,2022-11-22T01:19:00Z,19
podcast,2022-11-22T01:20:00Z,24
podcast,2022-11-22T01:21:00Z,23
podcast,2022-11-22T01:22:00Z,16
podcast,2022-11-22T01:23:00Z,21
podcast,2022-11-22T01:24:00Z,21
coffee,2022-11-22T00:29:00Z,79
coffee,2022-11-22T00:30:00Z,76
coffee,2022-11-22T00:31:00Z,85
coffee,2022-11-22T00:32:00Z,95
coffee,2022-11-22T00:33:00Z,77
coffee,2022-11-22T00:34:00Z,82
coffee,2022-11-22T00:35:00Z,84
coffee,2022-11-22T00:36:00Z,82
coffee,2022-11-22T00:37:00Z,81
coffee,2022-11-22T00:38:00Z,75
coffee,2022-11-22T00:39:00Z,83
coffee,2022-11-22T00:40:00Z,89
coffee,2022-11-22T00:41:00Z,89
coffee,2022-11-22T00:42:00Z,81
coffee,2022-11-22T00:43:00Z,81
coffee,2022-11-22T00:44:00Z,95
coffee,2022-11-22T00:45:00Z,91
coffee,2022-11-22T00:46:00Z,78
coffee,2022-11-22T00:47:00Z,76
coffee,2022-11-22T00:48:00Z,89
coffee,2022-11-22T00:49:00Z,88
coffee,2022-11-22T00:50:00Z,79
coffee,2022-11-22T00:51:00Z,83
coffee,2022-11-22T00:52:00Z,78
coffee,2022-11-22T00:53:00Z,93
coffee,2022-11-22T00:54:00Z,94
coffee,2022-11-22T00:55:00Z,79
coffee,2022-11-22T00:56:00Z,85
coffee,2022-11-22T00:57:00Z,79
coffee,2022-11-22T00:58:00Z,80
coffee,2022-11-22T00:59:00Z,88
coffee,2022-11-22T01:00:00Z,93
coffee,2022-11-22T01:01:00Z,73
coffee,2022-11-22T01:02:00Z,89
coffee,2022-11-22T01:03:00Z,81
coffee,2022-11-22T01:04:00Z,84
coffee,2022-11-22T01:05:00Z,85
coffee,2022-11-22T01:06:00Z,83
coffee,2022-11-22T01:07:00Z,86
coffee,2022-11-22T01:08:00Z,83
coffee,2022-11-22T01:09:00Z,73
coffee,2022-11-22T01:10:00Z,87
coffee,2022-11-22T01:11:00Z,74
coffee,2022-11-22T01:12:00Z,77
coffee,2022-11-22T01:13:00Z,70
coffee,2022-11-22T01:14:00Z,75
coffee,2022-11-22T01:15:00Z,74
coffee,2022-11-22T01:16:00Z,77
coffee,2022-11-22T01:17:00Z,81
coffee,2022-11-22T01:18:00Z,87
coffee,2022-11-22T01:19:00Z,85
coffee,2022-11-22T01:20:00Z,85
coffee,2022-11-22T01:21:00Z,100
coffee,2022-11-22T01:22:00Z,89
coffee,2022-11-22T01:23:00Z,95
coffee,2022-11-22T01:24:00Z,90
